Club Name,Acronym,Website,Primary Focus,Typical Recruitment,Freshman Friendliness (General Vibe),Typical Activities,How to Join/Learn More,Notes for EECS Freshmen,ApplicationLink,Fall Application Time
Computer Science Mentors,CSM,https://csmentors.berkeley.edu/,"Academic support, Tutoring for CS courses (e.g., CS61A/B/C)",Application-based to be a MENTOR (usually sophomores+); Open to all to be a MENTEE.,Very High (as mentee),"Tutoring sessions, review sessions, mentorship.",Sign up for mentorship at start of semester. Apply to be a mentor later.,Excellent resource for help in lower-div CS classes. Mentees sign up early!,https://csmentors.berkeley.edu/mentor/apply,September 5-13
Eta Kappa Nu,HKN,https://hkn.eecs.berkeley.edu/,"EECS Honor Society, Academic & Professional Development, Service",Invitation/Application based on GPA & units (usually Sophomores+),"Medium (events may be open, membership is later)","Tutoring, infosessions, professional workshops, social events, industry talks.",Attend open events. Strive for academic excellence to get invited.,Prestigious. Good to aspire to. Their course guides and tutoring are valuable.,https://hkn.eecs.berkeley.edu/candidates/,Early October (by invitation only)
Computer Science Undergraduate Association,CSUA,https://csua.berkeley.edu/,"General CS community, Social, Technical, Professional Development","Open membership, sign up anytime",Very High,"Tech talks, workshops (Git, Web Dev), LAN parties, company infosessions, resume critiques, hackathons.","Visit their office in Soda Hall, join Discord/mailing list, attend events.",Great all-around CS club. Very welcoming. Good place to meet people and find resources.,https://csua.berkeley.edu/join,September 5-12 (optimal time to join)
Institute of Electrical and Electronics Engineers,IEEE,https://ieee.berkeley.edu/,"Broader EE & CS, Projects, Workshops",Open membership,High,"Workshops (Arduino, soldering, Python), project teams, guest speakers, some social events.","Attend meetings, join mailing list.",Good for hands-on EE/hardware interests as well as software.,https://ieee.berkeley.edu/join,September 5-12 (optimal time to join)
Tau Beta Pi,TBP,https://tbp.berkeley.edu/,Engineering Honor Society (all engineering disciplines),"Invitation based on academic standing (top 1/8th Jr, top 1/5th Sr)","Low (for immediate membership, but good to know about)","Tutoring, professional development, community service, social events.",Excel academically. Look for their open events.,The oldest engineering honor society. Another one to aspire to.,https://tbp.berkeley.edu/candidates/,October (by invitation only)
Machine Learning @ Berkeley,ML@B,https://ml.berkeley.edu/,"ML education, projects, research, consulting","Application-based for decal, research, and project teams (competitive)",Medium (DeCal is a good entry point),"ML DeCal course, research projects, client projects, educational workshops, speaker events.","Take their DeCal, apply for teams. Attend public talks.",Very popular and well-regarded. DeCal is a great first step. Can be competitive.,https://ml.berkeley.edu/apply,September 5-10
Mobile Developers of Berkeley,MDB,https://mdb.dev/,"Mobile app development (iOS & Android), client projects, training program",Application-based for training program & dev teams,Medium (training program good for beginners with aptitude),"App development training program, build apps for clients/startups, workshops.",Apply for their semesterly training program.,Great for practical app development skills and portfolio building.,https://mdb.dev/apply,September 5-12
Blockchain at Berkeley,B@B,https://blockchain.berkeley.edu/,"Blockchain education, research, consulting, development","Application-based (DeCals, research, dev teams)",Medium (DeCals are accessible),"DeCal courses (intro & advanced), research, consulting projects, developer projects, workshops, conferences.","Take their DeCal(s), apply for teams/roles.",Leading university blockchain organization. DeCals are a good entry.,https://blockchain.berkeley.edu/apply,September 5 at 12:00 PM
Berkeley ANova,ANova,https://anova.berkeley.edu/,"CS education outreach to underserved K-12 students, mentorship",Application to be a mentor/instructor,High (for volunteering),"Teach CS concepts to K-12 students, curriculum development, mentorship.",Apply to become a mentor.,Rewarding way to give back and solidify your own CS understanding.,https://anova.berkeley.edu/apply,September 5-13
Codebase,Codebase,https://codebase.berkeley.edu/,"Software development projects for industry clients, consulting-style","Application-based, competitive",Medium to Low (often looks for some prior project experience or strong potential),"Develop software for startups and established companies, mentorship, technical workshops.",Apply during recruitment cycles. Build personal projects to strengthen application.,"Provides real-world, client-facing software engineering experience.",https://codebase.berkeley.edu/apply,September 5-8
